abandon -> abandons,abandoning,abandoned
jar -> jars,jarring,jarred
jaunt -> jaunts,jaunting,jaunted
jaw -> jaws,jawing,jawed
jazz -> jazzes,jazzing,jazzed
jeer -> jeers,jeering,jeered
jeopardize -> jeopardizes,jeopardizing,jeopardized
jerk -> jerks,jerking,jerked
jerry-build -> jerry-builds,jerry-building,jerry-built
jest -> jests,jesting,jested
jet -> jets,jetting,jetted
jettison -> jettisons,jettisoning,jettisoned
jib -> jibs,jibbing,jibbed
jig -> jigs,jigging,jigged
jiggle -> jiggles,jiggling,jiggled
jigsaw -> jigsaws,jigsawn,jigsawed,jigsawing
jilt -> jilts,jilting,jilted
jingle -> jingles,jingling,jingled
jink -> jinks,jinking,jinked
jive -> jives,jiving,jived
jockey -> jockeys,jockeying,jockeyed
jog -> jogs,jogging,jogged
joggle -> joggles,joggling,joggled
join -> joins,joining,joined
joke -> jokes,joking,joked
jolt -> jolts,jolting,jolted
jostle -> jostles,jostling,jostled
jot -> jots,jotting,jotted
journey -> journeys,journeying,journeyed
joust -> jousts,jousting,jousted
joyride -> joyrides,joyriding,joyrode,joyridden
judder -> judders,juddering,juddered
judge -> judges,judging,judged
juggle -> juggles,juggling,juggled
jumble -> jumbles,jumbling,jumbled
jump -> jumps,jumping,jumped
justify -> justifies,justifying,justified
jut -> juts,jutting,jutted
juxtapose -> juxtaposes,juxtaposing,juxtaposed
keel -> keels,keeling,keeled
keen -> keener,keenest,keens,keening,keened
keep -> keeps,keeping,kept
key -> keys,keying,keyed
kick -> kicks,kicking,kicked
kid -> kids,kidding,kidded
kidnap -> kidnaps,kidnapping,kidnapped
kill -> kills,killing,killed
kind -> kinds,kinder,kindest
kindle -> kindles,kindling,kindled
kink -> kinks,kinking,kinked
kip -> kips,kipping,kipped
kiss -> kisses,kissing,kissed
kit -> kits,kitting,kitted
knead -> kneads,kneading,kneaded
knee -> knees,kneeing,kneed
kneecap -> kneecaps,kneecapping,kneecapped
kneel -> kneels,kneeling,kneeled,knelt
knife -> knives,knifes,knifing,knifed
knight -> knights,knighting,knighted
knit -> knits,knitting,knitted
knock -> knocks,knocking,knocked
knot -> knots,knotting,knotted
know -> knows,knowing,knew,known
knuckle -> knuckles,knuckling,knuckled
kow-tow -> kow-tows,kow-towing,kow-towed
label -> labels,labelling,labelled
labour -> labours,labouring,laboured
lace -> laces,lacing,laced
lacerate -> lacerates,lacerating,lacerated
lack -> lacks,lacking,lacked
lacquer -> lacquers,lacquering,lacquered
ladder -> ladders,laddering,laddered
lade -> lades,laden,laded,lading
ladle -> ladles,ladling,ladled
lag -> lags,lagging,lagged
lam -> lams,lamming,lammed
lament -> laments,lamenting,lamented
lampoon -> lampoons,lampooning,lampooned
lance -> lances,lancing,lanced
land -> lands,landing,landed
landscape -> landscapes,landscaping,landscaped
languish -> languishes,languishing,languished
lap -> laps,lapping,lapped
lapse -> lapses,lapsing,lapsed
lard -> lards,larding,larded
lark -> larks,larking,larked
lash -> lashes,lashing,lashed
lasso -> lassoes,lassoing,lassoed
last -> lasts,lasting,lasted
latch -> latches,latching,latched
lather -> lathers,lathering,lathered
laud -> lauds,lauding,lauded
laugh -> laughs,laughing,laughed
launch -> launches,launching,launched
launder -> launders,laundering,laundered
lavish -> lavishes,lavishing,lavished
lay -> lays,laying,laid
laze -> lazes,lazing,lazed
lead -> leads,leading,led
leaf -> leaves,leafs,leafing,leafed
leaflet -> leaflets,leafleting,leafleted
leak -> leaks,leaking,leaked
lean -> leans,leant,leaned,leant,leaning
leap -> leaps,leaping,leaped,leapt
leapfrog -> leapfrogs,leapfrogging,leapfrogged
learn -> learns,learning,learned,learnt
lease -> leases,leasing,leased
leave -> leaves,leaving,left
lecture -> lectures,lecturing,lectured
leer -> leers,leering,leered
leg -> legs,legging,legged
legalize -> legalizes,legalizing,legalized
legislate -> legislates,legislating,legislated
legitimate -> legitimates,legitimating,legitimated
legitimize -> legitimizes,legitimizing,legitimized
lend -> lends,lending,lent
lengthen -> lengthens,lengthening,lengthened
lessen -> lessens,lessening,lessened
level -> levels,levelling,levelled
lever -> levers,levering,levered
levitate -> levitates,levitating,levitated
levy -> levies,levying,levied
liaise -> liaises,liaising,liaised
libel -> libels,libelling,libelled
liberalize -> liberalizes,liberalizing,liberalized
liberate -> liberates,liberating,liberated
license -> licenses,licensing,licensed
lick -> licks,licking,licked
lie -> lies,lying,lay,lain,lied
lift -> lifts,lifting,lifted
light -> lights,lighting,lighted,lit
lighten -> lightens,lightening,lightened
like -> likes,liking,liked
liken -> likens,likening,likened
limber -> limbers,limbering,limbered
limit -> limits,limiting,limited
limp -> limps,limping,limped,limper,limpest
line -> lines,lining,lined
linger -> lingers,lingering,lingered
link -> links,linking,linked
liquefy -> liquefies,liquefying,liquefied
liquidate -> liquidates,liquidating,liquidated
liquidize -> liquidizes,liquidizing,liquidized
lisp -> lisps,lisping,lisped
list -> lists,listing,listed
listen -> listens,listening,listened
litter -> litters,littering,littered
live -> lives,living,lived
load -> loads,loading,loaded
loaf -> loaves,loafs,loafing,loafed
loan -> loans,loaning,loaned
loathe -> loathes,loathing,loathed
lob -> lobs,lobbing,lobbed
lobby -> lobbies,lobbying,lobbied
localize -> localizes,localizing,localized
locate -> locates,locating,located
lock -> locks,locking,locked
lodge -> lodges,lodging,lodged
loft -> lofts,lofting,lofted
log -> logs,logging,logged
loiter -> loiters,loitering,loitered
loll -> lolls,lolling,lolled
lollop -> lollops,lolloping,lolloped
long -> longs,longing,longed,longer,longest
look -> looks,looking,looked
loom -> looms,looming,loomed
loony -> loonier,looniest,loonies
loop -> loops,looping,looped
loose -> looser,loosest,looses,loosing,loosed
loosen -> loosens,loosening,loosened
loot -> loots,looting,looted
lop -> lops,lopping,lopped
lope -> lopes,loping,loped
lord -> lords,lording,lorded
lose -> loses,losing,lost
lounge -> lounges,lounging,lounged
louse -> lice,louses,lousing,loused
love -> loves,loving,loved
low -> lower,lowest,lows,lowing,lowed
lower -> lowers,lowering,lowered
lubricate -> lubricates,lubricating,lubricated
lug -> lugs,lugging,lugged
lull -> lulls,lulling,lulled
lumber -> lumbers,lumbering,lumbered
lump -> lumps,lumping,lumped
lunch -> lunches,lunching,lunched
lunge -> lunges,lunging,lunged
lurch -> lurches,lurching,lurched
lure -> lures,luring,lured
lurk -> lurks,lurking,lurked
lust -> lusts,lusting,lusted
luxuriate -> luxuriates,luxuriating,luxuriated
lynch -> lynchs,lynching,lynched
machine -> machines,machining,machined
madden -> maddens,maddening,maddened
magic -> magics,magicking,magicked
magnetize -> magnetizes,magnetizing,magnetized
magnify -> magnifies,magnifying,magnified
mail -> mails,mailing,mailed
maim -> maims,maiming,maimed
mainline -> mainlines,mainlining,mainlined
maintain -> maintains,maintaining,maintained
major -> majors,majoring,majored
make -> makes,making,made
malfunction -> malfunctions,malfunctioning,malfunctioned
malign -> maligns,maligning,maligned
malinger -> malingers,malingering,malingered
maltreat -> maltreats,maltreating,maltreated
man -> men,mans,manning,manned
manacle -> manacles,manacling,manacled
manage -> manages,managing,managed
mangle -> mangles,mangling,mangled
manhandle -> manhandles,manhandling,manhandled
manicure -> manicures,manicuring,manicured
manifest -> manifests,manifesting,manifested
manipulate -> manipulates,manipulating,manipulated
manoeuvre -> manoeuvres,manoeuvring,manoeuvred
manufacture -> manufactures,manufacturing,manufactured
map -> maps,mapping,mapped
mar -> mars,marring,marred
march -> marches,marching,marched
marinade -> marinades,marinading,marinaded
marinate -> marinates,marinating,marinated
mark -> marks,marking,marked
market -> markets,marketing,marketed
maroon -> maroons,marooning,marooned
marry -> marries,marrying,married
marshal -> marshals,marshalling,marshalled
martyr -> martyrs,martyring,martyred
marvel -> marvels,marvelling,marvelled
mash -> mashes,mashing,mashed
mask -> masks,masking,masked
masquerade -> masquerades,masquerading,masqueraded
mass -> masses,massing,massed
mass-produce -> mass-produces,mass-producing,mass-produced
massacre -> massacres,massacring,massacred
massage -> massages,massaging,massaged
master -> masters,mastering,mastered
mastermind -> masterminds,masterminding,masterminded
masticate -> masticates,masticating,masticated
masturbate -> masturbates,masturbating,masturbated
match -> matches,matching,matched
mate -> mates,mating,mated
materialize -> materializes,materializing,materialized
matriculate -> matriculates,matriculating,matriculated
matter -> matters,mattering,mattered
mature -> matures,maturing,matured,maturer,maturest
maul -> mauls,mauling,mauled
maximize -> maximizes,maximizing,maximized
mean -> means,meaning,meant
meander -> meanders,meandering,meandered
measure -> measures,measuring,measured
mechanize -> mechanizes,mechanizing,mechanized
meddle -> meddles,meddling,meddled
mediate -> mediates,mediating,mediated
meditate -> meditates,meditating,meditated
meet -> meets,met,meeting
mellow -> mellows,mellowing,mellowed
melt -> melts,melted,molten,melting
memorize -> memorizes,memorizing,memorized
menace -> menaces,menacing,menaced
mend -> mends,mending,mended
menstruate -> menstruates,menstruating,menstruated
mention -> mentions,mentioning,mentioned
merge -> merges,merging,merged
merit -> merits,meriting,merited
mesh -> meshes,meshing,meshed
mesmerize -> mesmerizes,mesmerizing,mesmerized
mess -> messes,messing,messed
metamorphose -> metamorphoses,metamorphosing,metamorphosed
mete -> metes,meting,meted
meter -> meters,metering,metered
mew -> mews,mewing,mewed
miaow -> miaows,miaowing,miaowed
microfilm -> microfilms,microfilming,microfilmed
migrate -> migrates,migrating,migrated
militate -> militates,militating,militated
milk -> milks,milking,milked
mill -> mills,milling,milled
mime -> mimes,miming,mimed
Mimeograph -> Mimeographs,Mimeographing,Mimeographed
mimic -> mimics,mimicking,mimicked
mince -> minces,mincing,minced
mind -> minds,minding,minded
mine -> mines,mining,mined
mingle -> mingles,mingling,mingled
miniaturize -> miniaturizes,miniaturizing,miniaturized
minimize -> minimizes,minimizing,minimized
minister -> ministers,ministering,ministered
mint -> mints,minting,minted
minute -> minutes,minuting,minuted,minutest
mirror -> mirrors,mirroring,mirrored
misapply -> misapplies,misapplying,misapplied
misapprehend -> misapprehends,misapprehending,misapprehended
misappropriate -> misappropriates,misappropriating,misappropriated
misbecome -> misbecame,misbecomes,misbecoming
misbehave -> misbehaves,misbehaving,misbehaved
miscalculate -> miscalculates,miscalculating,miscalculated
miscarry -> miscarries,miscarrying,miscarried
misconstrue -> misconstrues,misconstruing,misconstrued
misdeal -> misdeals,misdealt,misdealing
misdirect -> misdirects,misdirecting,misdirected
misdo -> misdoes,misdid,misdone,misdoing
misfire -> misfires,misfiring,misfired
mishandle -> mishandles,mishandling,mishandled
mishear -> mishears,mishearing,misheard
misinform -> misinforms,misinforming,misinformed
misinterpret -> misinterprets,misinterpreting,misinterpreted
misjudge -> misjudges,misjudging,misjudged
mislay -> mislays,mislaying,mislaid
mislead -> misleads,misleading,misled
mismanage -> mismanages,mismanaging,mismanaged
mispronounce -> mispronounces,mispronouncing,mispronounced
misquote -> misquotes,misquoting,misquoted
misrepresent -> misrepresents,misrepresenting,misrepresented
misrule -> misrules,misruling,misruled
miss -> misses,missing,missed
misspell -> misspells,misspelling,misspelled,misspelt
misspend -> misspends,misspending,misspent
mist -> mists,misting,misted
mistake -> mistakes,mistaking,mistook,mistaken
mistime -> mistimes,mistiming,mistimed
mistreat -> mistreats,mistreating,mistreated
mistrust -> mistrusts,mistrusting,mistrusted
misunderstand -> misunderstands,misunderstood,misunderstanding
misuse -> misuses,misusing,misused
mitigate -> mitigates,mitigating,mitigated
mix -> mixes,mixing,mixed
moan -> moans,moaning,moaned
mob -> mobs,mobbing,mobbed
mobilize -> mobilizes,mobilizing,mobilized
mock -> mocks,mocking,mocked
model -> models,modelling,modelled
moderate -> moderates,moderating,moderated
modernize -> modernizes,modernizing,modernized
modify -> modifies,modifying,modified
modulate -> modulates,modulating,modulated
moisten -> moistens,moistening,moistened
molest -> molests,molesting,molested
mollify -> mollifies,mollifying,mollified
mollycoddle -> mollycoddles,mollycoddling,mollycoddled
monitor -> monitors,monitoring,monitored
monkey -> monkeys,monkeying,monkeyed
monopolize -> monopolizes,monopolizing,monopolized
moo -> moos,mooing,mooed
mooch -> mooches,mooching,mooched
moon -> moons,mooning,mooned
moonlight -> moonlights,moonlighting,moonlighted
moor -> moors,mooring,moored
mop -> mops,mopping,mopped
mope -> mopes,moping,moped
moralize -> moralizes,moralizing,moralized
mortgage -> mortgages,mortgaging,mortgaged
mortify -> mortifies,mortifying,mortified
mosey -> moseys,moseying,moseyed
mother -> mothers,mothering,mothered
motion -> motions,motioning,motioned
motivate -> motivates,motivating,motivated
motor -> motors,motoring,motored
mould -> moulds,moulding,moulded
moulder -> moulders,mouldering,mouldered
moult -> moults,moulting,moulted
mount -> mounts,mounting,mounted
mourn -> mourns,mourning,mourned
mouth -> mouths,mouthing,mouthed
move -> moves,moving,moved
mow -> mows,mowing,mowed,mown
muck -> mucks,mucking,mucked
muddle -> muddles,muddling,muddled
muddy -> muddier,muddiest,muddies,muddying,muddied
muff -> muffs,muffing,muffed
muffle -> muffles,muffling,muffled
mug -> mugs,mugging,mugged
mulch -> mulches,mulching,mulched
mull -> mulls,mulling,mulled
multiply -> multiplies,multiplying,multiplied
mumble -> mumbles,mumbling,mumbled
mummify -> mummifies,mummifying,mummified
munch -> munches,munching,munched
murder -> murders,murdering,murdered
murmur -> murmurs,murmuring,murmured
muscle -> muscles,muscling,muscled
muse -> muses,musing,mused
mushroom -> mushrooms,mushrooming,mushroomed
muster -> musters,mustering,mustered
mutate -> mutates,mutating,mutated
mute -> mutes,muting,muted
mutilate -> mutilates,mutilating,mutilated
mutiny -> mutinies,mutinying,mutinied
mutter -> mutters,muttering,muttered
muzzle -> muzzles,muzzling,muzzled
mystify -> mystifies,mystifying,mystified
nab -> nabs,nabbing,nabbed
nag -> nags,nagging,nagged
nail -> nails,nailing,nailed
name -> names,naming,named
nap -> naps,napping,napped
napalm -> napalms,napalming,napalmed
narrate -> narrates,narrating,narrated
narrow -> narrower,narrowest,narrows,narrowing,narrowed
nationalize -> nationalizes,nationalizing,nationalized
natter -> natters,nattering,nattered
naturalize -> naturalizes,naturalizing,naturalized
nauseate -> nauseates,nauseating,nauseated
navigate -> navigates,navigating,navigated
near -> nearer,nearest,nears,nearing,neared
necessitate -> necessitates,necessitating,necessitated
neck -> necks,necking,necked
need -> needs,needing,needed
needle -> needles,needling,needled
negate -> negates,negating,negated
neglect -> neglects,neglecting,neglected
negotiate -> negotiates,negotiating,negotiated
neigh -> neighs,neighing,neighed
nerve -> nerves,nerving,nerved
nest -> nests,nesting,nested
nestle -> nestles,nestling,nestled
net -> nets,netting,netted
network -> networks,networking,networked
neuter -> neuters,neutering,neutered
neutralize -> neutralizes,neutralizing,neutralized
nibble -> nibbles,nibbling,nibbled
nick -> nicks,nicking,nicked
nickname -> nicknames,nicknaming,nicknamed
niggle -> niggles,niggling,niggled
nip -> nips,nipping,nipped
nobble -> nobbles,nobbling,nobbled
noble -> nobler,noblest,nobles
nod -> nods,nodding,nodded
nominate -> nominates,nominating,nominated
normalize -> normalizes,normalizing,normalized
nose -> noses,nosing,nosed
nosedive -> nosedives,nosediving,nosedived
notch -> notches,notching,notched
note -> notes,noting,noted
notice -> notices,noticing,noticed
notify -> notifies,notifying,notified
nourish -> nourishes,nourishing,nourished
nudge -> nudges,nudging,nudged
nuke -> nukes,nuking,nuked
nullify -> nullifies,nullifying,nullified
numb -> numbs,numbing,numbed
number -> numbers,numbering,numbered
nurse -> nurses,nursing,nursed
nurture -> nurtures,nurturing,nurtured
nuzzle -> nuzzles,nuzzling,nuzzled
obey -> obeys,obeying,obeyed
obfuscate -> obfuscates,obfuscating,obfuscated
object -> objects,objecting,objected
oblige -> obliges,obliging,obliged
obliterate -> obliterates,obliterating,obliterated
obscure -> obscures,obscuring,obscured,obscurer,obscurest
observe -> observes,observing,observed
obsess -> obsesses,obsessing,obsessed
obstruct -> obstructs,obstructing,obstructed
obtain -> obtains,obtaining,obtained
obtrude -> obtrudes,obtruding,obtruded
obviate -> obviates,obviating,obviated
occasion -> occasions,occasioning,occasioned
occupy -> occupies,occupying,occupied
occur -> occurs,occurring,occurred
odd -> odder,oddest,odds
odd -> odder,oddest,odds
offend -> offends,offending,offended
offer -> offers,offering,offered
officiate -> officiates,officiating,officiated
offload -> offloads,offloading,offloaded
offset -> offsets,offsetting,offset
ogle -> ogles,ogling,ogled
oil -> oils,oiling,oiled
okay -> okays,okaying,okayed
omit -> omits,omitting,omitted
ooze -> oozes,oozing,oozed
open -> opens,opening,opened
operate -> operates,operating,operated
oppose -> opposes,opposing,opposed
oppress -> oppresses,oppressing,oppressed
opt -> opts,opting,opted
orbit -> orbits,orbiting,orbited
orchestrate -> orchestrates,orchestrating,orchestrated
ordain -> ordains,ordaining,ordained
order -> orders,ordering,ordered
organize -> organizes,organizing,organized
orient -> orients,orienting,oriented
orientate -> orientates,orientating,orientated
originate -> originates,originating,originated
ornament -> ornaments,ornamenting,ornamented
oscillate -> oscillates,oscillating,oscillated
ossify -> ossifies,ossifying,ossified
ostracize -> ostracizes,ostracizing,ostracized
oust -> ousts,ousting,ousted
outbid -> outbids,outbidding,outbidded,outbid
outclass -> outclasses,outclassing,outclassed
outdistance -> outdistances,outdistancing,outdistanced
outdo -> outdoes,outdoing,outdid,outdone
outfight -> outfights,outfought,outfighting
outflank -> outflanks,outflanking,outflanked
outfox -> outfoxes,outfoxing,outfoxed
outgrow -> outgrows,outgrowing,outgrew,outgrown
outlast -> outlasts,outlasting,outlasted
outlaw -> outlaws,outlawing,outlawed
outlay -> outlays,outlaid,outlaying
outline -> outlines,outlining,outlined
outlive -> outlives,outliving,outlived
outmanoeuvre -> outmanoeuvres,outmanoeuvring,outmanoeuvred
outnumber -> outnumbers,outnumbering,outnumbered
output -> outputs,outputting,output
outrage -> outrages,outraging,outraged
outride -> outrides,outrode,outridden,outriding
outrun -> outruns,outrunning,outran
outsell -> outsells,outselling,outsold
outshine -> outshines,outshining,outshone
outsmart -> outsmarts,outsmarting,outsmarted
outstay -> outstays,outstaying,outstayed
outstrip -> outstrips,outstripping,outstripped
outvote -> outvotes,outvoting,outvoted
outwear -> outwears,outwore,outworn,outwearing
outweigh -> outweighs,outweighing,outweighed
outwit -> outwits,outwitting,outwitted
overact -> overacts,overacting,overacted
overawe -> overawes,overawing,overawed
overbalance -> overbalances,overbalancing,overbalanced
overbear -> overbears,overbore,overborne,overbearing
overcharge -> overcharges,overcharging,overcharged
overcome -> overcomes,overcoming,overcame
overdo -> overdoes,overdoing,overdid,overdone
overdraw -> overdraws,overdrew,overdrawn,overdrawing
overeat -> overeats,overate,overeaten,overeating
overemphasize -> overemphasizes,overemphasizing,overemphasized
overestimate -> overestimates,overestimating,overestimated
overfeed -> overfeeds,overfed,overfeeding
overflow -> overflows,overflowing,overflowed
overfly -> overflies,overflew,overflown,overflying
overhang -> overhangs,overhanged,overhung,overhanging
overhaul -> overhauls,overhauling,overhauled
overhear -> overhears,overhearing,overheard
overheat -> overheats,overheating,overheated
overlap -> overlaps,overlapping,overlapped
overlay -> overlays,overlaying,overlaid
overleap -> overleaps,overleapt,overleaped,overleaping
overlie -> overlies,overlay,overlain,overlying
overload -> overloads,overloading,overloaded
overlook -> overlooks,overlooking,overlooked
overpay -> overpays,overpaid,overpaying
overplay -> overplays,overplaying,overplayed
overpower -> overpowers,overpowering,overpowered
overrate -> overrates,overrating,overrated
overreach -> overreaches,overreaching,overreached
overreact -> overreacts,overreacting,overreacted
override -> overrides,overriding,overrode,overridden
overrule -> overrules,overruling,overruled
overrun -> overruns,overrunning,overran,overrun
oversee -> oversees,overseeing,oversaw,overseen
oversell -> oversells,overselling,oversold
overshadow -> overshadows,overshadowing,overshadowed
overshoot -> overshoots,overshooting,overshot
oversimplify -> oversimplifies,oversimplifying,oversimplified
oversleep -> oversleeps,oversleeping,overslept
overspend -> overspends,overspent,overspending
overstate -> overstates,overstating,overstated
overstay -> overstays,overstaying,overstayed
overstep -> oversteps,overstepping,overstepped
overtake -> overtakes,overtaking,overtook,overtaken
overtax -> overtaxes,overtaxing,overtaxed
overthrow -> overthrows,overthrowing,overthrew,overthrown
overturn -> overturns,overturning,overturned
overvalue -> overvalues,overvaluing,overvalued
overwhelm -> overwhelms,overwhelming,overwhelmed
overwork -> overworks,overworking,overworked
overwrite -> overwrites,overwrote,overwritten,overwriting
ovulate -> ovulates,ovulating,ovulated
owe -> owes,owing,owed
own -> owns,owning,owned
oxidize -> oxidizes,oxidizing,oxidized
oxygenate -> oxygenates,oxygenating,oxygenated
pace -> paces,pacing,paced
pacify -> pacifies,pacifying,pacified
pack -> packs,packing,packed
package -> packages,packaging,packaged
pad -> pads,padding,padded
paddle -> paddles,paddling,paddled
padlock -> padlocks,padlocking,padlocked
page -> pages,paging,paged
pain -> pains,paining,pained
paint -> paints,painting,painted
pair -> pairs,pairing,paired
pal -> pals,palling,palled
pale -> paler,palest,pales,paling,paled
pall -> palls,palling,palled
palm -> palms,palming,palmed
palpitate -> palpitates,palpitating,palpitated
pamper -> pampers,pampering,pampered
pan -> pans,panning,panned
pander -> panders,pandering,pandered
panel -> panels,panelling,panelled
panic -> panics,panicking,panicked
pant -> pants,panting,panted
paper -> papers,papering,papered
parachute -> parachutes,parachuting,parachuted
parade -> parades,parading,paraded
parallel -> parallels,paralleling,paralleled
paralyse -> paralyses,paralysing,paralysed
paraphrase -> paraphrases,paraphrasing,paraphrased
parboil -> parboils,parboiling,parboiled
parcel -> parcels,parcelling,parcelled
parch -> parches,parching,parched
pardon -> pardons,pardoning,pardoned
pare -> pares,paring,pared
park -> parks,parking,parked
parley -> parleys,parleying,parleyed
parody -> parodies,parodying,parodied
parrot -> parrots,parroting,parroted
parry -> parries,parrying,parried
parse -> parses,parsing,parsed
part -> parts,parting,parted
partake -> partakes,partaking,partook,partaken
participate -> participates,participating,participated
particularize -> particularizes,particularizing,particularized
partition -> partitions,partitioning,partitioned
partner -> partners,partnering,partnered
pass -> passes,passing,passed
passivize -> passivizes,passivizing,passivized
paste -> pastes,pasting,pasted
pasteurize -> pasteurizes,pasteurizing,pasteurized
pasture -> pastures,pasturing,pastured
pasty -> pastier,pastiest,pasties
pat -> pats,patting,patted
patch -> patches,patching,patched
patent -> patents,patenting,patented
patrol -> patrols,patrolling,patrolled
patronize -> patronizes,patronizing,patronized
patter -> patters,pattering,pattered
pattern -> patterns,patterning,patterned
pauperize -> pauperizes,pauperizing,pauperize
pause -> pauses,pausing,paused
pave -> paves,paving,paved
paw -> paws,pawing,pawed
pawn -> pawns,pawning,pawned
pay -> pays,paying,paid
peak -> peaks,peaking,peaked
peal -> peals,pealing,pealed
peck -> pecks,pecking,pecked
pedal -> pedals,pedalling,pedalled
peddle -> peddles,peddling,peddled
pedestrianize -> pedestrianizes,pedestrianizing,pedestrianized
pee -> pees,peeing,peed
peek -> peeks,peeking,peeked
peel -> peels,peeling,peeled
peep -> peeps,peeping,peeped
peer -> peers,peering,peered
peeve -> peeves,peeving,peeved
peg -> pegs,pegging,pegged
pelt -> pelts,pelting,pelted
pen -> pens,penned,pent,penning
penalize -> penalizes,penalizing,penalized
pencil -> pencils,pencilling,pencilled
penetrate -> penetrates,penetrating,penetrated
pension -> pensions,pensioning,pensioned
people -> peoples,peopling,peopled
pep -> peps,pepping,pepped
pepper -> peppers,peppering,peppered
perambulate -> perambulates,perambulating,perambulated
perceive -> perceives,perceiving,perceived
perch -> perches,perching,perched
percolate -> percolates,percolating,percolated
perfect -> perfects,perfecting,perfected
perforate -> perforates,perforating,perforated
perform -> performs,performing,performed
perish -> perishes,perishing,perished
perjure -> perjures,perjuring,perjured
perk -> perks,perking,perked
perm -> perms,perming,permed
permeate -> permeates,permeating,permeated
permit -> permits,permitting,permitted
perpetrate -> perpetrates,perpetrating,perpetrated
perpetuate -> perpetuates,perpetuating,perpetuated
perplex -> perplexes,perplexing,perplexed
persecute -> persecutes,persecuting,persecuted
persevere -> perseveres,persevering,persevered
persist -> persists,persisting,persisted
personalize -> personalizes,personalizing,personalized
personify -> personifies,personifying,personified
perspire -> perspires,perspiring,perspired
persuade -> persuades,persuading,persuaded
pertain -> pertains,pertaining,pertained
perturb -> perturbs,perturbing,perturbed
peruse -> peruses,perusing,perused
pervade -> pervades,pervading,pervaded
pervert -> perverts,perverting,perverted
pester -> pesters,pestering,pestered
pet -> pets,petting,petted
peter -> peters,petering,petered
petition -> petitions,petitioning,petitioned
petrify -> petrifies,petrifying,petrified
phase -> phases,phasing,phased
philosophize -> philosophizes,philosophizing,philosophized
phone -> phones,phoning,phoned
photocopy -> photocopies,photocopying,photocopied
photograph -> photographs,photographing,photographed
photostat -> photostats,photostating,photostated
phrase -> phrases,phrasing,phrased
pick -> picks,picking,picked
picket -> pickets,picketing,picketed
pickle -> pickles,pickling,pickled
picnic -> picnics,picnicking,picnicked
picture -> pictures,picturing,pictured
piddle -> piddles,piddling,piddled
piece -> pieces,piecing,pieced
pierce -> pierces,piercing,pierced
pig -> pigs,pigging,pigged
pigeon-hole -> pigeon-holes,pigeon-holing,pigeon-holed
pile -> piles,piling,piled
pilfer -> pilfers,pilfering,pilfered
pillage -> pillages,pillaging,pillaged
pillory -> pillories,pillorying,pilloried
pillow -> pillows,pillowing,pillowed
pilot -> pilots,piloting,piloted
pin -> pins,pinning,pinned
pinch -> pinches,pinching,pinched
pine -> pines,pining,pined
ping -> pings,pinging,pinged
pinion -> pinions,pinioning,pinioned
pink -> pinker,pinkest,pinks,pinking,pinked
pinpoint -> pinpoints,pinpointing,pinpointed
pioneer -> pioneers,pioneering,pioneered
pip -> pips,pipping,pipped
pipe -> pipes,piping,piped
pirate -> pirates,pirating,pirated
pirouette -> pirouettes,pirouetting,pirouetted
piss -> pisses,pissing,pissed
pit -> pits,pitting,pitted
pitch -> pitches,pitching,pitched
pity -> pities,pitying,pitied
pivot -> pivots,pivoting,pivoted
placate -> placates,placating,placated
place -> places,placing,placed
plagiarize -> plagiarizes,plagiarizing,plagiarized
plague -> plagues,plaguing,plagued
plain -> plains,plainer,plainest
plait -> plaits,plaiting,plaited
plan -> plans,planning,planned
plane -> planes,planing,planed
plant -> plants,planting,planted
plaster -> plasters,plastering,plastered
plate -> plates,plating,plated
play -> plays,playing,played
play-act -> play-acts,play-acting,play-acted
plead -> pleads,pleading,pleaded,pled
please -> pleases,pleasing,pleased
pleat -> pleats,pleating,pleated
pledge -> pledges,pledging,pledged
plight -> plights,plighting,plighted
plod -> plods,plodding,plodded
plonk -> plonks,plonking,plonked
plop -> plops,plopping,plopped
plot -> plots,plotting,plotted
plough -> ploughs,ploughing,ploughed
pluck -> plucks,plucking,plucked
plug -> plugs,plugging,plugged
plumb -> plumbs,plumbing,plumbed
plume -> plumes,pluming,plumed
plummet -> plummets,plummeting,plummeted
plump -> plumper,plumpest,plumps,plumping,plumped
plunder -> plunders,plundering,plundered
plunge -> plunges,plunging,plunged
plunk -> plunks,plunking,plunked
ply -> plies,plying,plied
poach -> poaches,poaching,poached
pocket -> pockets,pocketing,pocketed
point -> points,pointing,pointed
poison -> poisons,poisoning,poisoned
poke -> pokes,poking,poked
polarize -> polarizes,polarizing,polarized
poleaxe -> poleaxes,poleaxing,poleaxed
police -> polices,policing,policed
polish -> polishes,polishing,polished
politicize -> politicizes,politicizing,politicized
poll -> polls,polling,polled
pollinate -> pollinates,pollinating,pollinated
pollute -> pollutes,polluting,polluted
pommel -> pommels,pommeling,pommeled
ponce -> ponces,poncing,ponced
ponder -> ponders,pondering,pondered
pong -> pongs,ponging,ponged
pontificate -> pontificates,pontificating,pontificated
pooh-pooh -> pooh-poohs,pooh-poohing,pooh-poohed
pool -> pools,pooling,pooled
pop -> pops,popping,popped
popularize -> popularizes,popularizing,popularized
populate -> populates,populating,populated
pore -> pores,poring,pored
portend -> portends,portending,portended
portion -> portions,portioning,portioned
portray -> portrays,portraying,portrayed
pose -> poses,posing,posed
posit -> posits,positing,posited
